Deal Ref,Client,Sales Owner,Opened On,Closed On,Deal Value,Outcome,Notes
LEG-1260,Munoz-Roman,Sneha Kapoor,08/03/2022,11/04/2022,37405.94,Cancelled,Discount applied
LEG-1261,"Campos, Vaughn and Marquez",Vikram Singh,02/27/2021,04/14/2021,"$77,628.04",Won,
LEG-1262,Rose-Obrien,Rohan Verma,12/01/2022,01/09/2023,"$25,752.51",Lost,
LEG-1263,"Flowers, Martin and Kelly",Priya Nair,01-12-2021,,66887.71,In Progress,
LEG-1264,"Flowers, Martin and Kelly",Vikram Singh,27-06-2021,,"$75,377.48",In Progress,
LEG-1265,Koch-Decker,Priya Nair,24-05-2022,29-08-2022,78716.9,Cancelled,
LEG-1266,"Sanchez, Ford and Nelson",Vikram Singh,07-08-2021,09-09-2021,20168.06,Cancelled,Migrated from legacy CRM
LEG-1267,"Johnson, Gonzalez and Santos",Vikram Singh,27-08-2022,13-10-2022,41263.23,Won,
LEG-1268,Harrell LLC,Deepak Joshi,28-02-2021,20-04-2021,28376.37,Won,Discount applied
LEG-1269,Harrell LLC,Sneha Kapoor,12/24/2022,02/15/2023,23291.15,Won,
LEG-1270,"Zuniga, Wong and Lynch",Deepak Joshi,19-04-2022,29-06-2022,5474.54,Lost,
LEG-1271,Koch-Decker,Priya Nair,01/24/2021,03/27/2021,"$25,913.76",Cancelled,
LEG-1272,Dennis Inc,Nisha Pillai,23-10-2021,20-11-2021,81294.71,Lost,Renewal
LEG-1273,"Cannon, Anderson and Alvarez",Arjun Rao,02-10-2021,,32154.39,In Progress,
LEG-1274,Underwood LLC,Nisha Pillai,14-12-2021,21-01-2022,67005.23,Lost,Renewal
LEG-1275,"Sanchez, Ford and Nelson",Arjun Rao,04/10/2022,07/11/2022,12263.73,Won,Migrated from legacy CRM
LEG-1276,Dennis Inc,Aditi Sharma,28-05-2022,17-09-2022,49793.79,Won,
LEG-1277,Cole LLC,Rohan Verma,02-03-2021,03-04-2021,7773.4,Cancelled,
LEG-1278,,Nisha Pillai,09-09-2022,21-10-2022,"$35,895.42",Cancelled,
LEG-1279,"Santos, Kim and Holmes",Rohan Verma,04/16/2022,,"$80,806.84",In Progress,
LEG-1280,,Priya Nair,08/30/2021,12/24/2021,58103.2,Lost,
LEG-1281,"Zuniga, Wong and Lynch",Nisha Pillai,14-12-2022,,"$80,322.27",In Progress,Migrated from legacy CRM
LEG-1282,"Montgomery, Hensley and Ray",Aditi Sharma,2022/12/11,2023/03/25,84380.32,Won,Discount applied
LEG-1283,Stanley LLC,Karan Malhotra,15-10-2022,04-12-2022,18797.87,Lost,
LEG-1284,Davis Inc,Karan Malhotra,02-11-2022,14-01-2023,60902.87,Won,Migrated from legacy CRM
LEG-1285,"Montgomery, Hensley and Ray",Arjun Rao,17-06-2021,26-08-2021,75691.29,Won,Discount applied
LEG-1286,"Valencia, Smith and Le",Rohan Verma,20-10-2022,27-12-2022,11295.15,Cancelled,
LEG-1287,Rose-Obrien,Nisha Pillai,2022/05/20,,65380.12,In Progress,Migrated from legacy CRM
LEG-1288,"Santos, Kim and Holmes",Vikram Singh,02/18/2022,03/25/2022,52787.25,Won,Migrated from legacy CRM
LEG-1289,Clark PLC,Sneha Kapoor,07/17/2021,08/28/2021,72653.98,Cancelled,
LEG-1290,Davis Inc,Deepak Joshi,11/05/2022,12/04/2022,8626.13,Cancelled,Renewal
LEG-1291,"Zuniga, Wong and Lynch",Meera Iyer,05/14/2022,,15628.76,In Progress,
LEG-1292,Koch-Decker,Deepak Joshi,07/24/2021,10/12/2021,10378.87,Won,Migrated from legacy CRM
LEG-1293,"Flowers, Martin and Kelly",Meera Iyer,31-01-2022,26-04-2022,"$75,217.47",Lost,
LEG-1294,"Ellis, Baker and Wright",Vikram Singh,2022/04/25,2022/07/28,10143.43,Lost,Migrated from legacy CRM
LEG-1295,Rhodes PLC,Aditi Sharma,11-05-2021,08-07-2021,"$4,991.55",Won,Migrated from legacy CRM
LEG-1296,Ramirez-Lewis,Vikram Singh,09/12/2022,12/31/2022,"$54,382.29",Won,
LEG-1297,Davis Inc,Deepak Joshi,01/12/2021,05/02/2021,16880.67,Won,Migrated from legacy CRM
LEG-1298,Harrell LLC,Priya Nair,06/01/2021,06/26/2021,73897.87,Cancelled,Discount applied
LEG-1299,"Ellis, Baker and Wright",Sneha Kapoor,16-04-2021,10-05-2021,69637.66,Cancelled,
LEG-1300,"Sanchez, Ford and Nelson",Sneha Kapoor,22-08-2022,04-11-2022,"$7,796.59",Won,Migrated from legacy CRM
LEG-1301,Davis Inc,Karan Malhotra,08/22/2022,12/07/2022,"$27,656.82",Cancelled,
LEG-1302,"Montgomery, Hensley and Ray",Nisha Pillai,09-11-2022,,"$35,782.70",In Progress,Renewal
LEG-1303,"Campos, Vaughn and Marquez",Nisha Pillai,08/07/2021,10/31/2021,44400.15,Cancelled,Discount applied
LEG-1304,Koch-Decker,Meera Iyer,02/16/2022,03/05/2022,70960.79,Lost,
LEG-1305,Koch-Decker,Rohan Verma,18-02-2022,15-06-2022,83819.92,Won,Migrated from legacy CRM
LEG-1306,Koch-Decker,Karan Malhotra,09/12/2022,10/30/2022,85566.29,Cancelled,
LEG-1307,James-Ferrell,Nisha Pillai,2022/05/09,2022/06/01,27030.75,Won,
LEG-1308,Rhodes PLC,Karan Malhotra,01/30/2022,05/07/2022,61360.19,Cancelled,
LEG-1309,"Hawkins, Cohen and Cameron",Rohan Verma,10/07/2021,01/22/2022,"$41,056.46",Cancelled,
LEG-1310,Johnson-Davis,Meera Iyer,06/24/2022,08/15/2022,34502.14,Cancelled,
LEG-1311,Rhodes PLC,Rohan Verma,2022/07/31,2022/10/01,20078.16,Cancelled,Renewal
LEG-1312,Koch-Decker,Deepak Joshi,2022/05/18,2022/09/11,78225.24,Won,
LEG-1313,Burgess-Patterson,Meera Iyer,27-02-2021,30-04-2021,47083.41,Cancelled,Discount applied
LEG-1314,Clark PLC,Karan Malhotra,06/28/2022,07/20/2022,7228.52,Lost,
LEG-1315,Davis Inc,Sneha Kapoor,2021/09/10,2021/12/31,20712.29,Lost,
LEG-1316,Davis Inc,Deepak Joshi,13-03-2021,,43107.98,In Progress,
LEG-1317,James-Ferrell,Arjun Rao,19-06-2021,29-07-2021,58255.13,Lost,
LEG-1318,"Lynch, Hernandez and Farmer",Arjun Rao,02/25/2021,03/16/2021,11212.42,Cancelled,
LEG-1319,"Rodriguez, Figueroa and Sanchez",Aditi Sharma,2022/03/18,2022/06/05,70986.55,Lost,
LEG-1320,"Campos, Vaughn and Marquez",Deepak Joshi,24-03-2022,20-07-2022,32774.61,Won,
LEG-1321,"Campos, Vaughn and Marquez",Rohan Verma,2022/03/11,2022/05/07,46772.24,Cancelled,
LEG-1322,Cole LLC,Priya Nair,08-12-2022,20-03-2023,56437.87,Won,
LEG-1323,Harrell LLC,Arjun Rao,08/26/2021,11/30/2021,50373.72,Won,Discount applied
LEG-1324,"Campos, Vaughn and Marquez",Nisha Pillai,08-04-2022,14-06-2022,18671.66,Lost,
LEG-1325,Johnson-Davis,Priya Nair,2022/07/26,2022/09/14,"$33,041.74",Lost,Discount applied
LEG-1326,Burgess-Patterson,Karan Malhotra,25-11-2021,15-03-2022,75344.14,Cancelled,Renewal
LEG-1327,Munoz-Roman,Sneha Kapoor,06/16/2021,10/10/2021,7986.82,Won,
LEG-1328,Rhodes PLC,Sneha Kapoor,02/08/2022,,35073.7,In Progress,
LEG-1329,"Hawkins, Cohen and Cameron",Arjun Rao,2021/10/01,,22305.4,In Progress,Migrated from legacy CRM
LEG-1330,"Lynch, Hernandez and Farmer",Sneha Kapoor,05/16/2021,07/25/2021,51325.06,Lost,Discount applied
LEG-1331,Lewis-Porter,Deepak Joshi,2022/03/04,2022/05/25,28974.47,Won,Discount applied
LEG-1332,Koch-Decker,Meera Iyer,05-10-2021,27-01-2022,24418.61,Cancelled,
LEG-1333,Campos Inc,Vikram Singh,2022/07/17,2022/10/22,"$56,847.73",Won,Discount applied
LEG-1334,"Cannon, Anderson and Alvarez",Meera Iyer,2021/08/04,,"$53,952.55",In Progress,
LEG-1335,"Santos, Kim and Holmes",Sneha Kapoor,2021/06/29,2021/09/09,18241.69,Cancelled,Migrated from legacy CRM
LEG-1336,Stanton-Gill,Rohan Verma,02/23/2021,,68157.63,In Progress,Discount applied
LEG-1337,"Martinez, Nielsen and Miller",Arjun Rao,2021/07/15,2021/10/06,53818.04,Won,Migrated from legacy CRM
LEG-1338,Stanley LLC,Karan Malhotra,2021/10/05,2021/12/23,52975.41,Won,
LEG-1339,Dennis Inc,Aditi Sharma,26-07-2022,21-11-2022,16151.13,Cancelled,Discount applied
LEG-1340,Rhodes PLC,Vikram Singh,2021/04/23,2021/07/18,59060.59,Lost,
LEG-1341,"Campos, Vaughn and Marquez",Arjun Rao,12-10-2021,27-01-2022,48719.47,Lost,Discount applied
LEG-1342,Robinson-Bright,Sneha Kapoor,20-09-2021,15-12-2021,75893.53,Won,
LEG-1343,James-Ferrell,Nisha Pillai,03/08/2021,06/03/2021,6574.83,Won,Discount applied
LEG-1344,"Valencia, Smith and Le",Rohan Verma,11/19/2022,01/28/2023,71389.67,Lost,
LEG-1345,Koch-Decker,Arjun Rao,2021/11/21,2022/03/19,75432.82,Won,
LEG-1346,Lewis-Porter,Deepak Joshi,2022/07/10,2022/08/18,"$38,285.66",Won,
LEG-1347,"Campos, Vaughn and Marquez",Sneha Kapoor,2021/03/16,,4084.12,In Progress,Renewal
LEG-1348,Cole LLC,Rohan Verma,05-03-2021,27-03-2021,75699.08,Lost,Discount applied
LEG-1349,"Santos, Kim and Holmes",Priya Nair,11-11-2021,11-03-2022,"$8,120.79",Won,Migrated from legacy CRM
LEG-1350,Koch-Decker,Karan Malhotra,02/11/2022,03/07/2022,42969.77,Cancelled,Renewal
LEG-1351,Chavez Ltd,Vikram Singh,01/09/2022,01/30/2022,58825.25,Won,Renewal
LEG-1352,"Valencia, Smith and Le",Meera Iyer,2021/03/17,2021/07/01,80147.45,Lost,Migrated from legacy CRM
LEG-1353,Harrell LLC,Sneha Kapoor,07-03-2021,02-07-2021,68144.22,Won,
LEG-1354,Allen PLC,Priya Nair,09-02-2022,,26664.94,In Progress,
LEG-1355,Robinson-Bright,Meera Iyer,12-03-2022,21-04-2022,"$11,670.07",Lost,Migrated from legacy CRM
LEG-1356,"Montgomery, Hensley and Ray",Rohan Verma,26-07-2022,30-09-2022,83736.35,Won,Discount applied
LEG-1357,"Ellis, Baker and Wright",Meera Iyer,22-09-2022,24-11-2022,22822.91,Cancelled,Renewal
LEG-1358,Allen PLC,Priya Nair,2021/01/09,2021/03/09,14428.72,Won,Migrated from legacy CRM
LEG-1359,"Sellers, George and Burns",Aditi Sharma,29-10-2021,,"$31,779.95",In Progress,
LEG-1360,Ramirez-Lewis,Sneha Kapoor,23-07-2022,12-09-2022,24339.65,Cancelled,Discount applied
LEG-1361,Stanley LLC,Rohan Verma,2022/06/13,2022/07/16,67718.82,Won,
LEG-1362,"Valencia, Smith and Le",Meera Iyer,02/12/2022,04/30/2022,19685.71,Won,Renewal
LEG-1363,Allen PLC,Karan Malhotra,12/25/2022,04/06/2023,69177.55,Won,Discount applied
LEG-1364,Chavez Ltd,Aditi Sharma,2021/06/26,2021/10/06,39124.56,Cancelled,Discount applied
LEG-1365,Harrell LLC,Aditi Sharma,2022/01/15,2022/04/21,38639.2,Cancelled,Renewal
LEG-1366,Campos Inc,Aditi Sharma,05/15/2022,07/20/2022,"$71,070.18",Cancelled,Discount applied
LEG-1367,"Montgomery, Hensley and Ray",Rohan Verma,04-05-2021,11-08-2021,19518.61,Cancelled,Migrated from legacy CRM
LEG-1368,James-Ferrell,Nisha Pillai,07/16/2021,09/11/2021,89043.11,Lost,
LEG-1369,James-Ferrell,Vikram Singh,15-07-2021,05-11-2021,10256.78,Won,Discount applied
LEG-1370,Allen PLC,Aditi Sharma,04/17/2021,08/08/2021,40976.65,Lost,
LEG-1371,Allen PLC,Sneha Kapoor,2021/05/02,,85820.4,In Progress,Discount applied
LEG-1372,"Santos, Kim and Holmes",Deepak Joshi,07/21/2021,,59759.88,In Progress,Discount applied
LEG-1373,Johnson-Davis,Vikram Singh,07-08-2021,12-11-2021,42860.27,Won,Migrated from legacy CRM
LEG-1374,Stanley LLC,Aditi Sharma,07/25/2022,09/08/2022,37582.67,Cancelled,Migrated from legacy CRM
LEG-1375,"Lynch, Hernandez and Farmer",Nisha Pillai,09/21/2021,10/15/2021,9459.37,Cancelled,Renewal
LEG-1376,"Martinez, Nielsen and Miller",Meera Iyer,11/20/2022,02/22/2023,82717.37,Won,Discount applied
LEG-1377,James-Ferrell,Meera Iyer,06/10/2022,08/27/2022,59324.29,Lost,Migrated from legacy CRM
LEG-1378,Conner Group,Sneha Kapoor,28-12-2021,15-02-2022,61067.03,Won,Renewal
LEG-1379,Burgess-Patterson,Arjun Rao,03/26/2022,04/13/2022,28045.35,Won,Migrated from legacy CRM
LEG-1380,"Santos, Kim and Holmes",Priya Nair,2021/11/30,2022/02/20,43618.98,Lost,
LEG-1381,"Zuniga, Wong and Lynch",Karan Malhotra,04/09/2021,05/11/2021,53540.58,Won,Migrated from legacy CRM
LEG-1382,Burgess-Patterson,Vikram Singh,05-01-2021,22-02-2021,62864.36,Lost,Migrated from legacy CRM
LEG-1383,"Zuniga, Wong and Lynch",Arjun Rao,16-10-2021,12-01-2022,38714.02,Won,
LEG-1384,"Lynch, Hernandez and Farmer",Deepak Joshi,06-09-2022,24-11-2022,52154.28,Won,Renewal
LEG-1385,"Hawkins, Cohen and Cameron",Karan Malhotra,2021/10/04,2021/12/29,31557.96,Won,
LEG-1386,Cole LLC,Rohan Verma,21-09-2022,24-12-2022,79486.51,Cancelled,Discount applied
LEG-1387,Underwood LLC,Aditi Sharma,17-11-2021,08-12-2021,48852.66,Won,Migrated from legacy CRM
LEG-1388,"Ellis, Baker and Wright",Karan Malhotra,10-11-2021,03-01-2022,31971.15,Won,
LEG-1389,Koch-Decker,Rohan Verma,08/24/2022,,74308.34,In Progress,
LEG-1390,Ramirez-Lewis,Priya Nair,2022/04/20,2022/07/01,86542.82,Won,
LEG-1391,Koch-Decker,Vikram Singh,2022/03/10,2022/04/16,49512.24,Won,Discount applied
LEG-1392,Dennis Inc,Arjun Rao,2021/08/08,2021/09/08,35044.85,Cancelled,
LEG-1393,"Ellis, Baker and Wright",Nisha Pillai,03/16/2022,,73607.69,In Progress,Discount applied
LEG-1394,Munoz-Roman,Vikram Singh,2022/05/22,2022/09/10,50346.68,Won,Discount applied
LEG-1395,"Potter, Mack and Peterson",Arjun Rao,12/16/2021,04/04/2022,28046.78,Won,Discount applied
LEG-1396,Blake and Sons,Sneha Kapoor,10-05-2021,28-07-2021,30190.59,Won,
LEG-1397,"Zuniga, Wong and Lynch",Nisha Pillai,18-10-2021,02-11-2021,7687.24,Lost,
LEG-1398,"Ellis, Baker and Wright",Rohan Verma,08/21/2021,,79945.23,In Progress,
LEG-1399,Dennis Inc,Meera Iyer,2022/06/20,2022/08/17,6905.88,Won,Migrated from legacy CRM
LEG-1400,"Lynch, Hernandez and Farmer",Meera Iyer,04/07/2022,06/27/2022,57054.14,Cancelled,
LEG-1401,"Rodriguez, Figueroa and Sanchez",Meera Iyer,2022/12/07,2023/03/13,65865.03,Won,Discount applied
LEG-1402,"Flowers, Martin and Kelly",Meera Iyer,25-07-2022,,28760.54,In Progress,Discount applied
LEG-1403,"Rodriguez, Figueroa and Sanchez",Priya Nair,08/26/2021,09/23/2021,"$75,925.12",Won,
LEG-1404,"Flowers, Martin and Kelly",Deepak Joshi,24-07-2021,09-08-2021,48684.79,Cancelled,Migrated from legacy CRM
LEG-1405,Stanley LLC,Meera Iyer,2022/07/27,2022/09/01,38746.18,Won,Renewal
LEG-1406,Munoz-Roman,Sneha Kapoor,09/24/2021,11/11/2021,87703.46,Lost,Discount applied
LEG-1407,Stanton-Gill,Sneha Kapoor,11-11-2022,06-01-2023,47939.82,Lost,
LEG-1408,Stanley LLC,Rohan Verma,26-05-2021,19-08-2021,65772.86,Cancelled,
LEG-1409,Stanley LLC,Aditi Sharma,12/29/2022,04/23/2023,66634.1,Won,
LEG-1410,"Montgomery, Hensley and Ray",Rohan Verma,05/12/2021,08/08/2021,82229.17,Cancelled,Migrated from legacy CRM
LEG-1411,"Montgomery, Hensley and Ray",Arjun Rao,14-07-2022,11-10-2022,24319.4,Won,
LEG-1412,Stanton-Gill,Vikram Singh,20-01-2021,14-04-2021,84813.87,Lost,
LEG-1413,"Lynch, Hernandez and Farmer",Nisha Pillai,15-06-2022,,53109.76,In Progress,
LEG-1414,Stanley LLC,Nisha Pillai,11/19/2022,01/30/2023,74938.74,Lost,Renewal
LEG-1415,Koch-Decker,Vikram Singh,2021/06/02,2021/06/24,25198.08,Won,
LEG-1416,Koch-Decker,Karan Malhotra,2022/08/05,2022/12/02,15891.68,Lost,
LEG-1417,"Johnson, Gonzalez and Santos",Deepak Joshi,30-08-2022,09-12-2022,15585.6,Lost,
LEG-1418,Stanton-Gill,Deepak Joshi,2021/02/20,2021/03/12,69445.72,Cancelled,Migrated from legacy CRM
LEG-1419,"Sanchez, Ford and Nelson",Deepak Joshi,09/11/2022,,79552.32,In Progress,Renewal
LEG-1420,Blake and Sons,Nisha Pillai,03-08-2022,28-11-2022,27919.2,Won,
